server_time_local,server_time_utc,client_ts,device,sensors.gps.lat,sensors.gps.lon,sensors.gps.alt_m,sensors.gps.sat,sensors.gps.hdop,sensors.dht22.temp_c,sensors.dht22.hum_pct,sensors.bmp280.temp_c,sensors.bmp280.press_hpa,sensors.bmp280.alt_m,sensors.bh1750.lux,sensors.hs_s20b.adc_raw,sensors.hs_s20b.ratio,sensors.mh_z19e.co2_ppm
2025-09-04T10:50:51+05:30,2025-09-04T05:20:51+00:00,2025-09-04T10:50:52+05:30,esp32-env1,28.544485,77.333141,211,11,1.4,23.79999924,99.90000153,24.04999924,984.7427979,240.0919952,409.9999695,4095,1,503,76,30,43,304
2025-09-04T10:50:57+05:30,2025-09-04T05:20:57+00:00,2025-09-04T10:50:57+05:30,esp32-env1,28.544485,77.333141,208,11,1,23.79999924,99.90000153,24.05999947,984.7519531,240.0142975,407.4999695,4095,1,497,29,30,98,626
2025-09-04T10:51:04+05:30,2025-09-04T05:21:04+00:00,2025-09-04T10:51:02+05:30,esp32-env1,28.544485,77.333141,210,8,1.5,23.79999924,99.90000153,24.04999924,984.7376709,240.1357422,407.4999695,4095,1,499,72,21,164,337
2025-09-04T10:51:08+05:30,2025-09-04T05:21:08+00:00,2025-09-04T10:51:07+05:30,esp32-env1,28.544485,77.333141,210,8,1.3,23.79999924,99.90000153,24.03000069,984.7377319,240.1352234,407.4999695,4095,1,475,88,57,113,616
2025-09-04T10:51:10+05:30,2025-09-04T05:21:10+00:00,2025-09-04T10:51:12+05:30,esp32-env1,28.544485,77.333141,211,11,1.4,23.79999924,99.90000153,24.04000092,984.7521973,240.0122375,409.1666565,4095,1,431,47,6,45,514
2025-09-04T10:51:16+05:30,2025-09-04T05:21:16+00:00,2025-09-04T10:51:17+05:30,esp32-env1,28.544485,77.333141,210,10,1.1,23.79999924,99.90000153,24.05999947,984.744873,240.0745087,405.833313,4095,1,465,96,30,90,268
2025-09-04T10:51:20+05:30,2025-09-04T05:21:20+00:00,2025-09-04T10:51:22+05:30,esp32-env1,28.544485,77.333141,211,11,1.5,23.70000076,99.90000153,24.04000092,984.7387695,240.1264801,408.333313,4095,1,490,100,46,72,480
2025-09-04T10:51:26+05:30,2025-09-04T05:21:26+00:00,2025-09-04T10:51:27+05:30,esp32-env1,28.544485,77.333141,205,12,0.9,23.79999924,99.90000153,24.02000046,984.7384644,240.1290436,408.333313,4095,1,443,63,10,119,553
2025-09-04T10:51:30+05:30,2025-09-04T05:21:30+00:00,2025-09-04T10:51:32+05:30,esp32-env1,28.544485,77.333141,208,9,1,23.79999924,99.90000153,24,984.7357178,240.1522064,409.9999695,4095,1,502,56,33,92,574
2025-09-04T10:51:35+05:30,2025-09-04T05:21:35+00:00,2025-09-04T10:51:37+05:30,esp32-env1,28.544485,77.333141,215,9,1.4,23.79999924,99.90000153,24,984.7370605,240.1408844,410.833313,4095,1,491,60,52,101,634
2025-09-04T10:51:41+05:30,2025-09-04T05:21:41+00:00,2025-09-04T10:51:42+05:30,esp32-env1,28.544485,77.333141,205,10,1.5,23.79999924,99.90000153,23.98999977,984.7435913,240.0853119,411.6666565,4095,1,497,24,54,162,746
2025-09-04T10:51:47+05:30,2025-09-04T05:21:47+00:00,2025-09-04T10:51:47+05:30,esp32-env1,28.544485,77.333141,213,8,1.5,23.79999924,99.90000153,24.01000023,984.7463989,240.0616455,409.1666565,4095,1,485,38,49,164,258
2025-09-04T10:51:52+05:30,2025-09-04T05:21:52+00:00,2025-09-04T10:51:52+05:30,esp32-env1,28.544485,77.333141,210,9,1.2,23.79999924,99.90000153,24.02000046,984.7421875,240.0971375,408.333313,4095,1,492,79,33,172,491
